experiment,method,seed,trace,trace_key,mean_reward
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_048_trace_806172_http---www.amazon.com_1280,048_trace_806172_http---www.amazon.com_1280,1.0787234042553193
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_049_trace_665208_http---www.yahoo.com_0,049_trace_665208_http---www.yahoo.com_0,2.559574468085106
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_050_trace_207336_http---www.amazon.com_1280,050_trace_207336_http---www.amazon.com_1280,0.6040122817353986
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_051_test_fcc_trace_805712_http---www.facebook.com_1500_0,051_test_fcc_trace_805712_http---www.facebook.com_1500_0,1.1808510638297873
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_052_test_fcc_trace_14731_http---www.facebook.com_420_0,052_test_fcc_trace_14731_http---www.facebook.com_420_0,0.3861702127659574
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_053_trace_8299_http---www.amazon.com_960,053_trace_8299_http---www.amazon.com_960,-0.7795402546426263
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_054_test_fcc_trace_805712_http---www.facebook.com_360_0,054_test_fcc_trace_805712_http---www.facebook.com_360_0,1.142553191489362
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_055_trace_806172_http---www.amazon.com_960,055_trace_806172_http---www.amazon.com_960,1.5489361702127653
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_056_test_fcc_trace_27175_http---www.amazon.com_600_0,056_test_fcc_trace_27175_http---www.amazon.com_600_0,0.5872340425531914
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_057_test_fcc_trace_14731_http---www.facebook.com_1320_0,057_test_fcc_trace_14731_http---www.facebook.com_1320_0,0.3382978723404255
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_058_trace_797700_http---www.yahoo.com_960,058_trace_797700_http---www.yahoo.com_960,0.4627659574468085
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_059_trace_941752_http---www.facebook.com_0,059_trace_941752_http---www.facebook.com_0,0.5106382978723405
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_060_test_fcc_trace_215364_http---www.ebay.com_1140_0,060_test_fcc_trace_215364_http---www.ebay.com_1140_0,0.8478723404255321
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_061_trace_806172_http---www.amazon.com_0,061_trace_806172_http---www.amazon.com_0,1.5957446808510636
fcc-test_video1,genet,100002,result_sim_abr_fcc-test_062_trace_797700_http---www.yahoo.com_320,062_trace_797700_http---www.yahoo.com_320,0.3861702127659576
